text,movement,style,year,corpus,var
"  O Дюма, который провёл в Российской империи девять месяцев и всё это время находился под наблюдением, докладывает из Москвы генерал-лейтенант Перфильев: “Он имеет страсть приготовлять сам на кухне кушанья и, говорят, мастер этого дела”. ",1,0,2002,0,из
" То есть садился на поезд, ехал в Москву или из Москвы… ",1,0,2004,0,из
"  Уральский ИТ-форум дал понять гостям из Москвы: в регионе создана своя ""среда"", конкурировать в которой будет непросто ",0,0,2004,0,из
" На этих заседаниях тон задавали гости из Москвы, где эти проблемы встали раньше. ",0,0,2004,0,из
  В Республиканской детской больнице N 1 появился доставленный из Москвы спиральный компьютерный томограф фирмы стоимостью 38 млн. руб. Один компьютерный томограф уже функционирует во 2-ой детской больнице. ,1,0,2004,0,из
"  Типично французский вопрос: ""Бенедикт, к тебе приезжал русский друг из Москвы, а на каком языке ты с ним общалась?"" ",1,0,2004,0,из
 Чтобы рядом кто-то был.  Кто-нибудь из Москвы.  Сами мы не справимся… ,0,0,2004,0,из
" Эта встреча наверняка заинтересовала бы тарковсковедов из Москвы, Санкт-Петербурга, других городов? ",0,0,2004,0,из
" К нам приезжали Елена Салейкова из Москвы, Сергей Грязнов из Тюмени, Анатолий Тучков из Краснодара. ",0,0,2004,0,из
" А если нет, то через неделю любую из Москвы привезут, только аванс заплати, что точно купишь. ",1,0,2004,0,из
" В Новом Уренгое устроили праздник для самых младших зрителей: программа составлена из сказок, каждый день на двух сценах Культурно-спортивного центра ""Газодобытчик"" (большой и малой) шли спектакли детских и кукольных театров из Москвы и Нижнего Новгорода, Кемерово и Краснодара, Старого Оскола и Тюмени. ",0,0,2004,0,из
" Они бессмысленно жгут топливо, расходуют снабжение, и при этом десятки тысяч членов экипажей не зарабатывают ни копейки ― ждут решения из Москвы. ",1,0,2003,0,из
" При этом неважно, будет ли этот преемник родом из Москвы или из Питера. ",0,0,2003,0,из
 Так и будут рассчитывать размер помощи из Москвы. ,1,0,2003,0,из
" Туда в девственные леса ""непуганых зверей"", было решено перенести Главный штаб Войск ПВО из Москвы. ",1,0,2003,0,из
" Ходили слухи, что новые владельцы собираются перевезти команду из Москвы в Красноярск, чтобы она и географически стала бы окончательно"" никелированной "". ",1,0,2003,0,из
" Клуб из Москвы традиционно является достаточно привлекательным"" брэндом ""для отечественных, а иногда и зарубежных спонсоров. ",0,0,2003,0,из
"  Из Москвы поезжайте в любом направлении, ― заметил Г. Зюганов, ― ещё выборная кампания не началась, а на всех рекламных щитах уже смотрит на вас Жириновский: он якобы за русских и за бедных. ",1,0,2003,0,из
"  Сам Коданев предвидел арест и рассказал об этом ещё за несколько часов до задержания в интервью газете ""Время новостей"": "" Мне позвонили друзья из Москвы и сказали, что ФСБ дала приказ на моё задержание"". ",0,0,2003,0,из
" В том вытрезвителе как раз и грабили таких вот― иногородних с билетами, которые должны были вот-вот уехать из Москвы. ",1,0,2003,0,из
  Справки по телефону: 73-06-12 (код из Москвы ― 8-27. из других городов ― 8-0967). ,1,0,2003,0,из
"  Проезд из Москвы до Пущино: авт. 359 от ст. м. ""Южная"", отправление; 8-20; 9-05; 10-05; 11-05; 13-55; 15-05; 16-05; 17-05; 18-30; 19-40; 20-10 (пятн.); 20-40. ",1,0,2003,0,из
" Двадцать бегунов ― шипящих мадагаскарских тараканов ― были привезены из Москвы, сообщила артдиректор клуба Яна Кряжевских. ",1,0,2003,0,из
"  Позвонил из Москвы и сообщил, что вернётся через три дня, во вторник. ",1,0,2002,0,из
"  Его осмотрели детские кардиологи, профессор из Манилы и Карнаухов из Москвы. ",0,0,2002,0,из
 На церемонию открытия специально из Москвы прилетела делегация российского представительства GM. ,1,0,2002,0,из
" Армейцы, так и не услышавшие от диктора по стадиону желанных новостей из Москвы, после финального свистка радостно вскинули руки, пообнимались немного и отправились в раздевалку. ",1,0,2002,0,из
" Когда мы в шесть утра вышли из прилетевшего из Москвы ""Боинга"" и окунулись в тёмную, подсвеченную фонарями мерзлоту Новосибирского аэродрома, дыхание от этого сухого мороза перехватило ничуть не меньше, чем от мокрого петербургского. ",1,0,2002,0,из
" К 1941 году здание было закончено, и во время войны в нём хранились коллекции эвакуированных из Москвы и Ленинграда музеев: Третьяковской галереи, Павловского дворца и других. ",1,0,2002,0,из
"  ― Вот, журналистов задержал, из Москвы, ― вытягиваясь в струнку, отрапортовал командир роты. ",0,1,2002,0,из
" Поэтому не стоит удивляться, что, руководя действиями своей команды из Москвы по телефону, главный тренер ""Спартака"" сумел добиться ничьей в противостоянии сразу с двумя тренерами ""Уралана"" ― Юрием Шишловым и Ревазом Дзодзуашвили. ",1,0,2002,0,из
" Когда решался вопрос об отъезде из Москвы, Гарлицкий буквально присягал учителю. ",1,0,2002,0,из
