text,movement,style,year,corpus,var
" Просто понимаете, ― снова обращается он к ним.  ― Девушка, наверное, с Москвы.  А в Москве они ― с другой планеты. ",0,1,2015,0,с
" [drynja2004, ?]   Ехали как-то с мистером Эдом с Москвы. ",1,2,2015,0,с
"  ― А с Москвы приехали, дом купили, крайний на дальнем порядке. ",1,1,2011,0,с
"  ― Из Москвы я.   ― С Москвы-ы-ы…  ― она мрачнеет и подвигает ближе к себе поросенка и нож, и тарелки с салом, и волшебные бутыли. ",0,1,2011,0,с
"  [Vivian, nick]   Я так поняла, ты с Москвы, добраться сложно будет, с Дзержинском не сравнить. ",0,2,2010,0,с
" [Ирина Жигалова, nick]   Спасибо огромное… у нас с Москвы еще автобус до Нижнего идет, нужно прикинуть, что дешевле, поезд или автобус… ",1,2,2010,0,с
" [dnsmazur]   Прекрасная работа менеджеров, отличная консультация при выборе товара, даже доставку с Москвы до Новороссийска взяли на себя, что очень радует. ",1,2,2011,0,с
" [Tarasova, жен]   А с Москвы до Одинцово вы как добираетесь? ",1,2,2008,0,с
" Друг ко мне с Москвы приехал, сейчас охотиться с бакланом едем, по дороге ветер покажу. ",1,0,2009,0,с
"  ― Так точно.  Та я вопще с Москвы.  В фельдшерской школе у нас полно было таких фамилиев: Перебийнос, Нетудыручка, Чмурило, Галушко. ",0,1,2008,0,с
" «…  Поехал он, Тимошка, с Москвы в Торопец один по обещанию своему Богу молитца, потому что… была на нём забытная болезнь, а не для торговаго промыслу». ",1,1,2007,0,с
" И мы ему сказывали, что мы не псковичи, не печерены, мы де с Москвы торговые люди, и лист государьской проезждей показывали. ",0,0,2007,0,с
" . Тимофей «сказал ему, Кузме, что он с Москвы ― Преображенского полку копитан Пётр Алексеев, а послан он, Пётр, по указу великого государя за рубеж в Ригу для покупок, да с ним ж де ездили торопчанин Никифор Туфанов, а тот де Никифор едет за ним, Петром, с покупкою назади». ",0,0,2007,0,с
" Тут усадьбу посетили проезжие торопчане и на вопрос хозяина, знаком ли им гость, сообщили: «Мы ево знаем, что с Москвы подлова человек». ",0,1,2007,0,с
" [ANGELIC DEVIL, nick]   ты ведь в Москве…..  [GLADIATOR, nick]   когда я с Москвы приеду встретимся?  [ANGELIC DEVIL, nick]   зачем??? ",1,2,2007,0,с
"  ― А я с Москвы приехала, ― рассказывала Уля. ",1,1,2003,0,с
 Еще беда: приехала с Москвы ― на постели черноплодка. ,1,0,1993,0,с
" Но постыла ему стала слава и противна сама мысль о мирском почитании, и оттого решился он съехать с Москвы в какой-нибудь дальний монастырь. ",1,0,1999,0,с
 Все обессилели: самолетик-птичка одна и та же ― аж с Москвы; пассажиры одни и те же. ,1,0,1997,0,с
" Прилетел с Москвы, поглядел на водичку и обратно! ",1,0,1997,0,с
" ― воскликнул Халявин.  ― Отправлялись с Москвы, город Липны.  Фрицы рыжие, ростом под потолок. ",1,1,1992,0,с
" Записал летописец: «Съеха Киприян митрополит с Москвы на Кыев, разгневася бо на него великий князь Дмитрей Ивановичь того ради, яко не сидел в осаде на Москве…» ",1,0,1978,0,с
"  «И с того дня князь Василей и князь Дмитрей Юрьевичи разлюбишася, побегоша с Москвы ко отцу своему в Галичь». ",1,0,1978,0,с
" Мы с ним с Москвы добирались, но я потерялся. ",1,0,1983,0,с
"  ― Анисимовна, чего скажу: товарищ Сталин будет выступать нынче вечером!  И даст приказ уходить с Москвы!   ― Закройте дверь! ",1,1,1980,0,с
 Из якутских лагерей приехал молодой уркач и рассказывал: какой-то с Москвы Мейерхольд обучал играть на сцене. ,0,0,1958,0,с
" Его с Москвы в целости отпустили, а им языки урезали. ",1,0,1976,0,с
 Приехали они сегодня с Москвы и рассказывают как там хорошо. ,1,0,1966,0,с
  прейскурант цен прейскурант   приехал с Москвы приехал из Москвы   промежду прочим между прочим ,1,0,1962,0,с
  Тревожилось начальство и других городов: «Люди с Москвы прихаживают и сплошные вести принашивают». ,0,1,1945,0,с
"  Резен усмехнулся, сказал, что и так хорошо.   ― Пушки-то с Москвы пришли?   ― Фузеи пригнаны да мушкеты, гранат две подводы добрых. ",1,1,1952,0,с
" Кормовые нам с Москвы, что ли, шлют? ",1,0,1952,0,с
"  ― С Москвы да с Костромы, с Калуги да с Вязьмы, с Курска да с Ярославля… ",0,1,1952,0,с
 С Москвы на службу под Азов пойдем сего же месяца 18-го числа…» ,1,0,1952,0,с
" С Москвы во всю Росею пошел, вот откуда Егорьев День. ",1,0,1936,0,с
  ― Откель?   ― С Москвы.   ― А эти кто такие? ,0,1,1934,0,с
"  Ты запомни-ка, Михаил Васильевич,  Как поехали с Москвы мы белокаменной,  На поезде Ленин нам наказывал:  ― Вы, ― богатыри земли советской,  Земли русской да пролетарской. ",1,1,1938,0,с
" Обо всем мне покойник перед смертью писал: «Стала-де ты скупа быть, не стала милостыни творить.  С Москвы от твоей изгони съехал…  И еще кое-что сказывал, да уж бог тебя простит… ",1,0,1937,0,с
" Сидит-де, правит царскую службу честно и за ту честную службу наживает едино лишь поклепцов и шепотников лукавых и ворогов, кои-де ежеденно плодятца, изветы кляузные пишут, измышляют всячески и сыщиков с Москвы на него зовут. ",1,0,1937,0,с
" Ты дела такие по его указу творишь, что, гляди, сыщики с Москвы наедут… ",1,0,1937,0,с
 Не дрожи… наедут с Москвы ― плачь да кланяйся и говори: «увели отца воеводу разбойники!» ,1,0,1937,0,с
"  ― «Перечневую роспись» подпиши!  Дьяки велят, пригнали с Москвы, требуют…   ― Ох, нет ее, нет… ",1,1,1937,0,с
"  ― Не от себя явились, по указу великого государя.  Так вот скажу отписку: «Боярин и воевода князь Яков Одоевский приказал голове московских стрельцов Давыдку Баранчееву дело великого государя, и он, Давыдка, указу великого государя ослушался и приказу воеводы князя Одоевского не послушал же, сказал: «Слушать ему не велел того указу боярин Иван Богданович Милославский, а сказал ему: он-де того Федьку сего числа не пошлет, пошлет, когда увидит у боярина Одоевского статьи,которые  присланы с Москвы».  И вот, боярин Иван Богданыч, буду я тебе мало честь из этой книги… ",1,0,1937,0,с
" С Москвы я сбег в Астрахань, служил конным стрельцом. ",1,0,1937,0,с
"  С осени 1666 г. стали заготовлять для постройки лес в лесах по рекам Оке, Угре и Жиздре, а «1667 г. мая 2, в четверток, после столового кушанья за два часа до вечера государь пошел с Москвы в Коломенское для окладыванья своих государских хором». ",1,0,1928,0,с
"  ― Нашли путь, хрестник!  Путь к нам с Москвы старой…   На двор прибывали казаки с темными лицами, в шрамах, бородатые, в грубых жупанах из воловьей шерсти. ",1,1,1927,0,с
"  ― Еще скажу я вам, матерые казаки: в верхних городках много село беглых с Москвы; люд все более пахотной, и люд тот землю прибирает. ",0,1,1927,0,с
 Еще спрос: с Москвы на Дон не закрывать сиротскую дорогу?.. ,1,0,1927,0,с
 Скажу: в верхние городки много холопей с Москвы беглых сошло… ,0,0,1927,0,с
"  ― Кто такой?   ― Лазунка, батько, с Москвы, то-то порасскажет.   ― Ну, други, радость мне! ",0,1,1927,0,с
" Я же ушел с Москвы без смерти, сказывал тебе лишь, что убил я Шпыня, лазутчика, да, кажись, не до смерти зашиб. ",1,0,1927,0,с
" Церковка строилась ― спретил, попов погнал: «Сажают с Москвы-де попов, потом воевод посадят с дыбой, чего на вольном Дону не бывало!» ",1,1,1927,0,с
" Отныне тоже укажу вам: не принимать на Дон в казаки беглых холопей с Москвы и иных городов, а для порядка, чтоб мое имя стояло у вас высоко, налажен мною на Дон воевода Косогов с войском драгун и рейтар. ",0,0,1927,0,с
"  ― Ну его, ― бурчал он, хмурясь, ― мне бархата вашего не нужно.  С фронту, с Москвы и то…   И не выдержав, разрезал щеки огромной, косой улыбкой, ― улыбался все шире, захлебывался: ",1,1,1925,0,с
"  ― С Москвы взят из домишку своего с приходными и расходными книгами, по доношению фискальному во взятках. ",1,1,1905,0,с
" К первому принадлежали высшие чины, служившие «с Москвы», а также выбор из городов, о котором у нас уже была речь. ",0,0,1904,0,с
" Подьячий, находившийся тогда по делам службы в Москве, «побежал оттуда погоней» за беглецами, а тотчас по его отъезде побежал с Москвы оставшийся там другой его крепостной, «поимав достальные его животы»: все это совершилось в Суздале и Москве в 8 дней. ",1,0,1904,0,с
" С Москвы они, значит, ехали, от боголюбивых народов, и денег везли с собой уйму. ",1,0,1890,0,с
" Из Новгорода, что ли?  Кто говорит, с Москвы.  В аптеке он больше все по ночам дежурил. ",0,0,1889,0,с
" На вывеске, прибитой к разваленному домишке, в котором он жил, было слепыми и размытыми дождем буквами написано: «Портной Григорий Авениров ― военный и партикулярный с Москвы». ",0,0,1886,0,с
"  ― Хоть и сказывал мне Исуп Глазатый, что, едучи с Москвы к Нижнему, он сустрел их на пути во образе калик перехожих, а все страшно. ",1,1,1885,0,с
" С Москвы до Соловков предписывалось ехать через Вологду на Архангельск, и из посольского приказа в ямской посланы памяти о заготовке подвод для всей свиты. ",1,0,1943,0,с
  ― Ономедни пригнал во Псков посол с Москвы… ,1,0,1882,0,с
 И ко мне гонцы пригнали с Москвы. ,1,0,1882,0,с
" Здесь-то мы хлеб нынче не покупаем; станция, так конкурентов много развелось, приказчиков с Москвы насылают, цены набивают. ",1,0,1874,0,с
" Да нынче по весне приказ с Москвы прислал: обрыть всю землю канавой, а крестьян ― чтобы ни ногой! ",1,0,1874,0,с
" ― тихонько промолвил Василий Борисыч, покачав головой.   ― С Москвы, что ль, будете?  ― спросил его Дементий. ",0,1,1872,0,с
"  ― Давненько, матушка, я с Москвы-то съехал, ― отвечал Василий Борисыч. ",1,1,1872,0,с
