text,movement,style,year,corpus,var
" [Студентка1, жен, 20]   Ты ведь тоже не из Москвы?   Откуда? ",0,1,2005,1,из
" [№ 2, муж]   Он говорит / ""Да разве я размещаю / эти из Москвы заказали маркетинговые исследования / выявили наиболее читаемые газеты"". ",1,1,2004,1,из
" [№ 2, муж]   Приезжали музыканты из Москвы / устраивались побои ещё около этих музыкантов после их выступления. ",1,1,2004,1,из
 [10.]   А если этот генерал из Москвы не вылазит / за что ему героя- то давать? ,1,1,2000,1,из
" [Мать, Маргарита Терехова, жен]   Мы в общем- то из Москвы / но в Юрьевце у нас комната. ",0,1,1974,1,из
" [Вероника, жен]   У вас есть какие-нибудь задумки?   Просто мы из Москвы/ поэтому…   [Юлианна Фёдорова, жен]   Вы территориально откуда? ",0,1,2015,1,из
"  [Елена, жен]   Так/ меня интересует ээ вылет из Москвы пятнадцатого марта аа до Лондона. ",1,1,2015,1,из
" [Елена, жен]   Дело в том/ что у нас будет транзитный перелёт в нескольких числах. Аа значит/ пятнадцатого нам надо вылететь из Москвы в Лондон и из Лондона нам надо вылететь восемнадцатого м… вот мы ещё немножко не уточнили/ либо в Мадрид/ либо в Барселону. ",1,1,2015,1,из
"  [Владимир Жириновский, муж]   Поэтому я вас прошу/ на местах усильте партийную работу/ демократия должна быть снизу/ сверху из Москвы только я или Высший Совет/ депутаты – нам тяжело проконтролировать всю партию на местах/ сорок четыре тысячи поселений… ",1,1,2013,1,из
"  [Власов Дмитрий Викторович, муж]   Потому что ээ иногда дети и вообще приезжают из Москвы/ бывает/ приезжают группы/ ну/ потому что они сами говорят/ что у нас/ говорят/ в Москве можно увидеть всё в музеях/ а вот свою природу не увидеть. ",1,1,2013,1,из
" [Примаков Евгений Максимович, муж]   Вот сморите/ слава Богу/ что решили сейчас из Москвы не передвигать ээ куда-то на окраины/ в Московскую область… ",1,1,2013,1,из
"  [Косачёв Константин Иосифович, муж]   Евгений Максимыч/ двигаясь по географической дуге―ээ из Москвы через Кавказ/ Ближний Восток/ Сирия. ",1,1,2013,1,из
" [Надежда Павловна Ш., жен]   И вот их везли четырнадцать суток из Москвы и вот до Караганды/ Успенка вот здесь вот/ станция Успенка есть. ",1,1,2012,1,из
" [Надежда Павловна Ш., жен]   Ну Женя из Москвы ездил/ мы уже никак не успевали из Каражала/ там очень далеко/ и на двух самолётах. ",1,1,2012,1,из
" [Игорь Исаев, муж]   Я говорю/ «Девчат/ а что это вы из Москвы едете домой в двадцать один ноль ноль?» ",1,1,2011,1,из
" [Казанский, муж, 32]   Очень много болельщиков из Москвы / из других городов / приятно видеть / что поддержка такая у московского «Спартака» на любом выездном матче. ",0,1,2011,1,из
"  [Примаков Евгений Максимович, муж]   Потому шо я не думаю/ что те/ которые давали указание из Москвы ээ не ветировать эту резолюцию/ что они уже понимали/ что за этим стоит/ потому шо резолюция была достаточно аморфной. ",1,1,2011,1,из
"  [Эдуард Лимонов, муж]   Расписывали поезда/ идущие из Москвы/ захватили башню Святого Петра в своё время мирным путём в двухтысячном году. ",1,1,2011,1,из
"  [Юрий Пронько, муж]   Так/ дальше идём – второй вопрос/ ""В числе актуальных программных задач Ваша партия заявляла о переносе столицы из Москвы в Сибирь. ",1,1,2011,1,из
" [Юрий Пивоваров, муж]   Александр приехал в Тверь/ и Карамзина вызвали из Москвы. ",1,1,2010,1,из
"  [Юрий Пивоваров, муж]   и мы на телегах гоним хлеб из Москвы в Крым. ",1,1,2010,1,из
"  [Наталья, жен]   И мы со своей стороны/ что предлагаем из Москвы/ да/ пока вот вы ещё не улетели. ",1,1,2010,1,из
" [Женский голос, жен]   Переехал из Москвы в Барятинский район Калужской области строить посёлок для детей-сирот. ",1,1,2009,1,из
" [Дмитрий Морозов, муж, 50]   Но / видите ли / в чём дело / я токо когда в тридцать три года вот выехал из Москвы и взял в руки там топор и лопату / я токо тогда себя вот почувствовал как бы вот ммм… такой вот не приставкой к микрофону / не хочу никого обижать. ",1,1,2009,1,из
" [Дмитрий Морозов, муж, 50]   То есть для меня эта тема колоссальная / потому что мне из Москвы всё время привозят на консультацию детей из богатых семей. ",1,1,2009,1,из
